Genotype,Sample,X,Y
1214,2240,86.51667,0.1494611291
1214,2240,86.55,0.1429362051
1214,2240,86.58333,0.1354921499
1214,2240,86.61667,0.1274502316
1214,2240,86.65,0.1191581723
1214,2240,86.68333,0.1109357154
1214,2240,86.71667,0.1029906905
1214,2240,86.75,0.09550294875
1214,2240,86.78333,0.08861242637
1214,2240,86.81667,0.0822994006
1214,2240,86.85,0.07650423388
1214,2240,86.88333,0.07115803995
1214,2240,86.91667,0.0661549377
1214,2240,86.95,0.06137979733
1214,2240,86.98333,0.05674978268
1214,2240,87.01667,0.05231123221
1214,2240,87.05,0.04814277804
1214,2240,87.08333,0.04430172861
1214,2240,87.11667,0.04076009779
1214,2240,87.15,0.03746857582
1214,2240,87.18333,0.03439532995
1214,2240,87.21667,0.03157843566
1214,2240,87.25,0.02907344546
1214,2240,87.28333,0.02693709004
1214,2240,87.31667,0.02523081275
1214,2240,87.35,0.02401723511
1214,2240,87.38333,0.02331970402
1214,2240,87.41667,0.02300446805
1214,2240,87.45,0.02289850114
1214,2240,87.48333,0.02283605294
1214,2240,87.51667,0.02268047586
1214,2240,87.55,0.02230239799
1214,2240,87.58333,0.02159089687
1214,2240,87.61667,0.02050884767
1214,2240,87.65,0.01903757502
1214,2240,87.68333,0.01719129376
1214,2240,87.71667,0.01511577977
1214,2240,87.75,0.01298969914
1214,2240,87.78333,0.01097590303
1214,2240,87.81667,0.009173982717
1214,2240,87.85,0.007667714546
1214,2240,87.88333,0.006513946169
1214,2240,87.91667,0.005661810534
1214,2240,87.95,0.005033511912
1214,2240,87.98333,0.004558822233
1214,2240,88.01667,0.004197784056
1214,2240,88.05,0.003918007599
1214,2240,88.08333,0.003690459634
1214,2240,88.11667,0.003499533162
1214,2240,88.15,0.003332977735
1214,2240,88.18333,0.003183524776
1214,2240,88.21667,0.003063833177
1214,2240,88.25,0.002991543694
1214,2240,88.28333,0.002974711496
1214,2240,88.31667,0.002983049381
1214,2240,88.35,0.00297668456
1214,2240,88.38333,0.002915027628
1214,2240,88.41667,0.002754622734
1214,2240,88.45,0.00245129741
1214,2240,88.48333,0.001970667651
1214,2240,88.51667,0.001317503277
1214,2240,88.55,0.0005063625659
1214,2240,88.58333,-0.0004402636458
